CMDLINE C:\Users\derfu\anaconda3\python.exe ./egd/simulation.py --player0 DeepQAgent --player1 Simple --player2 Random --player3 Simple --games 200 --verbose 0 --loadmodel 0 --savemodel 1 --inference 0
MEM 1.570312 1606948556.9229
MEM 9.031250 1606948557.0316
MEM 12.562500 1606948557.1321
MEM 17.507812 1606948557.2323
MEM 21.097656 1606948557.3326
MEM 24.171875 1606948557.4327
MEM 27.148438 1606948557.5413
MEM 29.628906 1606948557.6487
MEM 32.050781 1606948557.7643
MEM 34.312500 1606948557.8644
MEM 36.820312 1606948557.9647
MEM 39.472656 1606948558.0650
MEM 40.933594 1606948558.1653
MEM 42.488281 1606948558.2660
MEM 44.687500 1606948558.3806
MEM 46.562500 1606948558.4815
MEM 48.757812 1606948558.5820
MEM 51.605469 1606948558.6821
MEM 53.585938 1606948558.7974
MEM 55.339844 1606948558.9132
MEM 57.449219 1606948559.0149
MEM 59.828125 1606948559.1354
MEM 60.742188 1606948559.2357
MEM 63.410156 1606948559.3486
MEM 66.847656 1606948559.4519
MEM 68.804688 1606948559.5522
MEM 70.773438 1606948559.6525
MEM 71.800781 1606948559.7527
MEM 73.945312 1606948559.8530
MEM 75.996094 1606948559.9685
MEM 77.824219 1606948560.0688
MEM 79.597656 1606948560.1691
MEM 81.781250 1606948560.2694
MEM 84.929688 1606948560.3697
MEM 87.089844 1606948560.4852
MEM 89.445312 1606948560.5855
MEM 91.847656 1606948560.6857
MEM 93.402344 1606948560.7861
MEM 94.812500 1606948560.8864
MEM 96.839844 1606948560.9963
MEM 99.820312 1606948561.1026
MEM 101.093750 1606948561.2029
MEM 103.121094 1606948561.3032
MEM 106.667969 1606948561.4035
MEM 109.667969 1606948561.5154
MEM 111.199219 1606948561.6197
MEM 112.777344 1606948561.7200
MEM 114.675781 1606948561.8202
MEM 115.605469 1606948561.9205
MEM 116.953125 1606948562.0427
MEM 119.765625 1606948562.1430
MEM 120.371094 1606948562.2433
MEM 124.179688 1606948562.3436
MEM 148.773438 1606948562.4438
MEM 140.753906 1606948562.5479
MEM 143.246094 1606948562.6564
MEM 149.160156 1606948562.7606
MEM 153.281250 1606948562.8609
MEM 158.207031 1606948562.9613
MEM 163.929688 1606948563.0648
MEM 167.726562 1606948563.1772
MEM 173.085938 1606948563.2775
MEM 165.636719 1606948563.3777
MEM 164.757812 1606948563.4780
MEM 163.324219 1606948563.5782
MEM 168.609375 1606948563.6939
MEM 172.039062 1606948563.8024
MEM 159.640625 1606948563.9034
MEM 164.000000 1606948564.0146
MEM 168.617188 1606948564.1157
MEM 171.222656 1606948564.2166
MEM 177.054688 1606948564.3176
MEM 173.125000 1606948564.4185
MEM 162.859375 1606948564.5250
MEM 166.480469 1606948564.6315
MEM 168.222656 1606948564.7410
MEM 164.250000 1606948564.8411
MEM 174.617188 1606948564.9565
MEM 162.109375 1606948565.0568
MEM 166.496094 1606948565.1571
MEM 167.953125 1606948565.2572
MEM 178.460938 1606948565.3574
MEM 170.257812 1606948565.4577
MEM 171.378906 1606948565.5617
MEM 166.863281 1606948565.6756
MEM 164.128906 1606948565.7781
MEM 169.855469 1606948565.8925
MEM 178.492188 1606948565.9935
MEM 174.441406 1606948566.0944
MEM 171.734375 1606948566.1955
MEM 166.816406 1606948566.2956
MEM 173.964844 1606948566.4044
MEM 164.839844 1606948566.5218
MEM 166.457031 1606948566.6347
MEM 170.554688 1606948566.7351
MEM 177.503906 1606948566.8465
MEM 181.562500 1606948566.9610
MEM 178.542969 1606948567.0660
MEM 181.781250 1606948567.1673
MEM 180.097656 1606948567.2804
MEM 183.562500 1606948567.3958
MEM 176.992188 1606948567.4971
MEM 174.253906 1606948567.6105
MEM 182.421875 1606948567.7235
MEM 181.867188 1606948567.8355
